title,runtime,parental_guide,genre,directors,stars,writers,person_id,gross_us_canada,film_id
Paths of Glory,1h 28m,Approved,"['Drama', 'War']",['Stanley Kubrick'],"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou']","['Stanley Kubrick', 'Calder Willingham', 'Jim Thompson']","{'directors': ['0000040'], 'stars': ['0000018', '0576127', '0579663'], 'writers': ['0000040', '0932229', '0860292']}",,0050825
Avengers: Infinity War,2h 29m,PG-13,"['Action', 'Adventure', 'Sci-Fi']","['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","{'directors': ['0751577', '0751648'], 'stars': ['0000375', '1165110', '0749263'], 'writers': ['1321655', '1321656', '0498278']}","$678,815,482",4154756
The Shining,2h 26m,R,"['Drama', 'Horror']",['Stanley Kubrick'],"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']","['Stephen King', 'Stanley Kubrick', 'Diane Johnson']","{'directors': ['0000040'], 'stars': ['0000197', '0001167', '0515950'], 'writers': ['0000175', '0000040', '0424956']}","$45,634,352",0081505
The Great Dictator,2h 5m,G,"['Comedy', 'Drama', 'War']",['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie']",['Charles Chaplin'],"{'directors': ['0000122'], 'stars': ['0000122', '0002104', '0642988'], 'writers': ['0000122']}",,0032553
Witness for the Prosecution,1h 56m,Approved,"['Crime', 'Drama', 'Mystery']",['Billy Wilder'],"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton']","['Agatha Christie', 'Billy Wilder', 'Harry Kurnitz']","{'directors': ['0000697'], 'stars': ['0000061', '0000017', '0001452'], 'writers': ['0002005', '0000697', '0475823']}",,0051201
Spider-Man: Into the Spider-Verse,1h 57m,PG,"['Animation', 'Action', 'Adventure']","['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']","['Phil Lord', 'Rodney Rothman']","{'directors': ['2130108', '0709056', '0745247'], 'stars': ['4271336', '2159926', '2794962'], 'writers': ['0520488', '0745247']}","$190,241,310",4633694
Aliens,2h 17m,R,"['Action', 'Adventure', 'Sci-Fi']",['James Cameron'],"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn']","['James Cameron', 'David Giler', 'Walter Hill']","{'directors': ['0000116'], 'stars': ['0000244', '0000299', '0001343'], 'writers': ['0000116', '0318429', '0001353']}","$85,160,248",0090605
American Beauty,2h 2m,R,['Drama'],['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch']",['Alan Ball'],"{'directors': ['0005222'], 'stars': ['0000228', '0000906', '0000301'], 'writers': ['0050332']}","$130,096,601",0169547
The Dark Knight Rises,2h 44m,PG-13,"['Action', 'Drama', 'Thriller']",['Christopher Nolan'],"['Christian Bale', 'Tom Hardy', 'Anne Hathaway']","['Jonathan Nolan', 'Christopher Nolan', 'David S. Goyer']","{'directors': ['0634240'], 'stars': ['0000288', '0362766', '0004266'], 'writers': ['0634300', '0634240', '0275286']}","$448,149,584",1345836
Inglourious Basterds,2h 33m,R,"['Adventure', 'Drama', 'War']",['Quentin Tarantino'],"['Brad Pitt', 'Diane Kruger', 'Eli Roth']",['Quentin Tarantino'],"{'directors': ['0000233'], 'stars': ['0000093', '1208167', '0744834'], 'writers': ['0000233']}","$120,540,719",0361748
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1h 35m,PG,"['Comedy', 'War']",['Stanley Kubrick'],"['Peter Sellers', 'George C. Scott', 'Sterling Hayden']","['Stanley Kubrick', 'Terry Southern', 'Peter George']","{'directors': ['0000040'], 'stars': ['0000634', '0001715', '0001330'], 'writers': ['0000040', '0816143', '0313570']}","$9,440,272",0057012
Oldboy,2h,R,"['Action', 'Drama', 'Mystery']",['Park Chan-wook'],"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong']","['Garon Tsuchiya', 'Nobuaki Minegishi', 'Park Chan-wook']","{'directors': ['0661791'], 'stars': ['0158856', '0949167', '1367246'], 'writers': ['1628380', '2057405', '0661791']}","$2,338,699",0364569
Coco,1h 45m,PG,"['Animation', 'Adventure', 'Drama']","['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']","['Lee Unkrich', 'Jason Katz', 'Matthew Aldrich']","{'directors': ['0881279', '2937122'], 'stars': ['5645519', '0305558', '0000973'], 'writers': ['0881279', '0441735', '0017690']}","$210,460,015",2380307
Amadeus,2h 40m,PG,"['Biography', 'Drama', 'Music']",['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge']","['Peter Shaffer', 'Zdenek Mahler']","{'directors': ['0001232'], 'stars': ['0000719', '0001371', '0000931'], 'writers': ['0787323', '0537004']}","$51,973,029",0086879
Toy Story,1h 21m,G,"['Animation', 'Adventure', 'Comedy']",['John Lasseter'],"['Tom Hanks', 'Tim Allen', 'Don Rickles']","['John Lasseter', 'Pete Docter', 'Andrew Stanton']","{'directors': ['0005124'], 'stars': ['0000158', '0000741', '0725543'], 'writers': ['0005124', '0230032', '0004056']}","$223,225,679",0114709
Das Boot,2h 29m,,"['Drama', 'War']",['Wolfgang Petersen'],"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann']","['Wolfgang Petersen', 'Lothar G. Buchheim']","{'directors': ['0000583'], 'stars': ['0001638', '0344963', '0921044'], 'writers': ['0000583', '0118164']}","$11,487,676",0082096
Braveheart,2h 58m,R,"['Biography', 'Drama', 'History']",['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan']",['Randall Wallace'],"{'directors': ['0000154'], 'stars': ['0000154', '0000521', '0001526'], 'writers': ['0908824']}","$75,609,945",0112573
Joker,2h 2m,R,"['Crime', 'Drama', 'Thriller']",['Todd Phillips'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']","['Todd Phillips', 'Scott Silver', 'Bob Kane']","{'directors': ['0680846'], 'stars': ['0001618', '0000134', '5939164'], 'writers': ['0680846', '0798788', '0004170']}","$335,477,657",7286456
Avengers: Endgame,3h 1m,PG-13,"['Action', 'Adventure', 'Drama']","['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']","['Christopher Markus', 'Stephen McFeely', 'Stan Lee']","{'directors': ['0751577', '0751648'], 'stars': ['0000375', '0262635', '0749263'], 'writers': ['1321655', '1321656', '0498278']}","$858,373,000",4154796
Princess Mononoke,2h 14m,PG-13,"['Animation', 'Action', 'Adventure']",['Hayao Miyazaki'],"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka']","['Hayao Miyazaki', 'Neil Gaiman']","{'directors': ['0594503'], 'stars': ['0559444', '0410942', '0849100'], 'writers': ['0594503', '0301274']}","$4,845,631",0119698
